component_failed,country,days_since_last_service,downtime_hours,equipment_id,equipment_type,event_date,event_id,event_type,failure_mode,maintenance_type,manufacturer,mine_type,model_year,oil_analysis_flag,operating_hours,production_loss_tonnes,repair_cost_usd,severity,table_name,temperature_flag,vibration_flag,was_scheduled
,south_africa,,,UNIT-1004,haul_truck,,,,,,Komatsu,open_pit,2022.0,,,,,,equipment,,,
,tanzania,,,UNIT-1005,drill_rig,,,,,,Epiroc,open_pit,2016.0,,,,,,equipment,,,
,zimbabwe,,,UNIT-1009,haul_truck,,,,,,Belaz,processing_plant,2013.0,,,,,,equipment,,,
,ghana,,,UNIT-1011,drill_rig,,,,,,Epiroc,processing_plant,2021.0,,,,,,equipment,,,
,south_africa,,,UNIT-1013,conveyor,,,,,,ThyssenKrupp,open_pit,2019.0,,,,,,equipment,,,
,zambia,,,UNIT-1014,drill_rig,,,,,,Sandvik,open_pit,2023.0,,,,,,equipment,,,
,drc,,,UNIT-1020,excavator,,,,,,Liebherr,underground,2020.0,,,,,,equipment,,,
,drc,,,UNIT-1027,loader,,,,,,Caterpillar,open_pit,2009.0,,,,,,equipment,,,
,botswana,,,UNIT-1028,conveyor,,,,,,ThyssenKrupp,open_pit,2022.0,,,,,,equipment,,,
,drc,,,UNIT-1029,conveyor,,,,,,Metso,underground,2020.0,,,,,,equipment,,,
,south_africa,,,UNIT-1036,loader,,,,,,Volvo,open_pit,2014.0,,,,,,equipment,,,
,tanzania,,,UNIT-1038,grader,,,,,,Caterpillar,underground,2013.0,,,,,,equipment,,,
,zimbabwe,,,UNIT-1039,haul_truck,,,,,,Belaz,open_pit,2016.0,,,,,,equipment,,,
,botswana,,,UNIT-1040,haul_truck,,,,,,Komatsu,underground,2015.0,,,,,,equipment,,,
,zambia,,,UNIT-1041,haul_truck,,,,,,Belaz,open_pit,2010.0,,,,,,equipment,,,
,south_africa,,,UNIT-1042,excavator,,,,,,Caterpillar,underground,2015.0,,,,,,equipment,,,
,botswana,,,UNIT-1043,excavator,,,,,,Caterpillar,underground,2011.0,,,,,,equipment,,,
,south_africa,,,UNIT-1044,crusher,,,,,,FLSmidth,processing_plant,2009.0,,,,,,equipment,,,
,drc,,,UNIT-1047,haul_truck,,,,,,Caterpillar,open_pit,2009.0,,,,,,equipment,,,
,ghana,,,UNIT-1048,crusher,,,,,,FLSmidth,processing_plant,2014.0,,,,,,equipment,,,
,zimbabwe,,,UNIT-1049,drill_rig,,,,,,Caterpillar,open_pit,2008.0,,,,,,equipment,,,
,south_africa,,,UNIT-1052,haul_truck,,,,,,Caterpillar,processing_plant,2011.0,,,,,,equipment,,,
,botswana,,,UNIT-1057,haul_truck,,,,,,Hitachi,open_pit,2015.0,,,,,,equipment,,,
,drc,,,UNIT-1058,excavator,,,,,,Caterpillar,open_pit,2014.0,,,,,,equipment,,,
